626	1.301000	Goma	2	2009	5261.png	Andrews
645	0.103000	Policarbonato	4	2005	4695.png	Armstrong
590	1.447000	PVC	1	1993	4491.png	Armstrong
643	0.940000	Aluminio	2	1996	4505.png	Atkinson
587	0.770000	Aluminio	3	2022	4483.png	Bell
618	0.136000	PVC	4	1997	4957.png	Bell
568	0.287000	Pasta	2	2022	5433.png	Bennett
649	0.893000	Vidrio	4	2017	5489.png	Berry
628	0.787000	Níquel	2	1997	4848.png	Brooks
555	0.918000	Ámbar	2	2000	4519.png	Campbell
565	1.298000	Níquel	1	1997	4910.png	Campbell
578	0.973000	Ámbar	2	2018	5178.png	Carr
588	0.239000	Coral	1	2006	5077.png	Carr
570	1.435000	Policarbonato	1	1992	5051.png	Clarke
646	0.312000	Plástico	2	2006	4717.png	Cole
638	1.324000	PVC	3	2011	4567.png	Cook
639	0.658000	Madera y vidrio	3	2005	4751.png	Cox
651	1.087000	Metal	3	2004	5098.png	Cunningham
573	0.992000	Concha	2	2002	5504.png	Davies
586	0.238000	Goma	3	1989	4688.png	Davies
567	0.764000	Concha	3	1982	4663.png	Davies
630	0.661000	Concha	4	2014	4999.png	Davis
625	0.835000	Níquel	1	2021	4460.png	Dean
600	0.486000	Cartón piedra	3	2022	4813.png	Ellis
2	1.200000	diamante	3	2019	prueba2.png	Estudiante
644	0.250000	Aluminio	2	1988	4635.png	Evans
598	0.728000	Vidrio	4	2020	5259.png	Fisher
621	1.277000	Madera y vidrio	4	1985	5114.png	Fisher
596	0.893000	Plástico	3	2003	5195.png	Foster
629	1.250000	Cartón piedra	3	1993	5325.png	Foster
648	0.199000	Concha	1	2016	5213.png	Fox
606	1.465000	Pasta	1	1997	5373.png	Fox
652	0.992000	Madera	1	2021	4564.png	Gardner
641	1.298000	Pasta	3	2015	4758.png	George
582	0.861000	Madera y vidrio	3	1991	5398.png	Gibson
563	1.464000	Vidrio	3	1981	4475.png	Gill
559	1.178000	Concha	3	2016	4734.png	Gordon
556	1.012000	Aluminio	4	1981	4446.png	Gordon
560	0.319000	PVC	3	1987	5173.png	Griffiths
624	1.393000	Ámbar	4	2020	5445.png	Harrison
601	1.287000	Cartón piedra	1	1986	5192.png	Hunt
593	1.046000	Ámbar	4	1983	4806.png	Hunt
579	0.683000	Níquel	4	1988	4819.png	Jackson
631	0.333000	Goma	4	1982	5019.png	Johnson
654	1.136000	Cartón piedra	2	2005	5096.png	Khan
623	1.343000	Coral	2	2012	5186.png	Lee
558	1.382000	Coral	2	2020	5063.png	Marshall
581	0.813000	Cartón piedra	1	1983	4518.png	Marshall
594	0.643000	Níquel	4	1999	4749.png	Martin
637	1.393000	Níquel	4	2001	4863.png	Mason
666	1.173000	Plástico	2	2020	5153.png	Mills
650	1.195000	Cartón piedra	2	1987	4757.png	Mitchell
665	1.435000	Goma	4	2022	5188.png	Moore
599	0.829000	Goma	1	2010	5103.png	Moore
592	1.326000	Concha	2	2008	4754.png	Moore
657	1.083000	Policarbonato	1	1992	4762.png	Morris
658	0.332000	Madera	1	2013	4993.png	Parker
572	1.156000	Plástico	3	1981	4587.png	Parker
616	0.186000	Plástico	1	1992	4575.png	Patel
632	1.463000	Plástico	4	2008	5511.png	Pearson
18	1.200000	cobalto	2	1965	a.png	Pruebahaceprimeraletramayuscula
633	1.108000	Aluminio	2	1995	5218.png	Reid
602	0.938000	Aluminio	3	1994	4525.png	Reid
611	0.650000	Madera	3	2021	4776.png	Roberts
647	1.373000	Policarbonato	1	1993	5021.png	Robertson
612	0.410000	Policarbonato	1	1991	4469.png	Robertson
662	0.140000	Policarbonato	4	1982	5306.png	Robinson
604	1.021000	Policarbonato	3	2012	5082.png	Rogers
564	0.264000	Ámbar	1	1989	5041.png	Rose
597	0.213000	Plástico	4	2022	4581.png	Ryan
613	0.837000	Coral	2	2006	4784.png	Saunders
603	0.693000	Madera	2	1993	5143.png	Saunders
577	0.721000	Vidrio	2	1982	4828.png	Shaw
589	1.273000	Concha	2	1986	5447.png	Stevens
569	0.324000	Plástico	1	2005	5323.png	Stone
642	0.854000	Madera	3	2016	4822.png	Taylor
614	1.001000	Aluminio	2	2022	5024.png	Thomson
660	0.483000	Metal	1	2002	5128.png	Turner
595	1.283000	Cartón piedra	3	2003	5520.png	Walsh
605	0.941000	Madera	3	2019	5129.png	Watts
557	1.155000	Pasta	3	2018	4735.png	Watts
576	0.367000	Pasta	1	2016	4891.png	Webb
566	1.464000	Aluminio	1	2009	4593.png	Webb
615	1.252000	Concha	2	2007	4953.png	Webb
584	0.860000	Concha	3	2002	5524.png	Webb
634	0.721000	Níquel	2	1980	5305.png	Webb
617	0.905000	Níquel	4	1984	4515.png	Wells
627	1.207000	Cartón piedra	1	2020	5026.png	West
664	1.423000	Aluminio	3	1998	4724.png	White
636	0.670000	Aluminio	1	2017	4978.png	Williamson
583	1.293000	Policarbonato	2	1989	4672.png	Wilson
640	0.687000	Níquel	2	1981	4613.png	Wilson
562	0.616000	Madera y vidrio	1	1991	5135.png	Wright
16	1.450000	piedra maciza	3	2031	momentoEpico.png	Yo
988	1.400000	cobre	3	2000	figuras.png	yo
